example/multiple-calls,clojure.core/defn,1
topology.symbols/symbols,topology.symbols/zip-nodes,1
topology.qualifier/filter-fully-qualified,clojure.core/namespace,1
topology.symbols/zip-nodes,topology.symbols/seq-map-zip,1
topology.symbols/zip-nodes,clojure.zip/end?,1
topology.symbols/seq-map-zip,clojure.core/defn-,1
topology.qualifier/fq-ns,clojure.core/*err*,1
topology.edgelist-test/syntax-quotes-add-seq-concat-list,clojure.core/range,1
topology.symbols/seq-map-zip,clojure.core/fn,3
example/a-defn-with-a-macro,example/a-test-def,1
topology.edgelist-test/should-report-java-interop,java.util.Collections/EMPTY_SET,1
topology.finder/find-sources-in-dir,clojure.core/or,1
topology.dependencies-test/should-compute-fn-calls-in-namespace,example/a-defn-with-a-macro,1
topology.edgelist-test/should-produce-weighted-edges-for-multiple-calls,clojure.core/get,1
topology.edgelist-test/syntax-quotes-add-seq-concat-list,clojure.core/let,1
leiningen.topology/topology,clojure.core/seq,5
topology.qualifier/all-fq,clojure.core/map,1
topology.printer/print-weighted-edges,clojure.string/join,1
topology.qualifier/filter-fully-qualified,clojure.core/not=,1
topology.qualifier/fq-ns,clojure.core/ns,3
topology.dependencies/dependencies,clojure.core/not-empty,1
topology.edgelist-test/should-produce-weighted-edges-for-multiple-calls,topology.edgelist-test/edges,1
topology.dependencies-test/should-compute-fn-calls-in-namespace,example/a-test-def,2
topology.edgelist/interleave-keys,clojure.core/map,1
example/java-interop,java.util.Collections/EMPTY_SET,1
topology.dependencies-test/should-compute-fn-calls-in-namespace,clojure.string/join,1
topology.qualifier/filter-fully-qualified,clojure.core/fn,1
topology.qualifier/all-fq,clojure.core/symbol,1
example/a-defn-with-a-macro,clojure.string/join,1
topology.dependencies/sources,clojure.core/str,1
topology.edgelist-test/syntax-quotes-add-seq-concat-list,example/using-syntax-quote,8
topology.dependencies/sources,clojure.core/symbol,1
topology.symbols/zip-nodes,clojure.core/take-while,1
topology.edgelist/dirs->fn-edges,clojure.core/defn,1
topology.finder/find-sources-in-dir,clojure.core/sort-by,1
topology.qualifier/filter-fully-qualified,topology.qualifier/all-fq,1
topology.finder/clojurescript-file?,clojure.core/defn-,1
topology.finder/source-paths->namespaces,clojure.core/defn,1
topology.edgelist/ns->edgelist,topology.dependencies/ns->fn-dep-map,1
topology.edgelist/dirs->fn-edges,topology.edgelist/ns->edgelist,1
topology.dependencies/sources,clojure.core/map,3
topology.finder/source-paths->namespaces,clojure.core/map,1
topology.finder/dirs->sources,clojure.core/defn-,1
topology.symbols/seq-map-zip,clojure.core/meta,1
leiningen.topology/topology,topology.edgelist/dirs->fn-edges,1
topology.symbols/symbols,clojure.core/filter,1
topology.dependencies/dependencies,clojure.core/into,1
topology.dependencies/dependencies,clojure.core/filter,1
topology.dependencies/dependencies,clojure.core/read-string,1
example/using-syntax-quote,clojure.core/defn,1
topology.symbols/symbols,clojure.zip/node,1
topology.symbols/seq-map-zip,clojure.core/with-meta,1
example/test-when,clojure.core/list,1
topology.dependencies/interns,clojure.core/require,1
topology.edgelist-test/should-produce-weighted-edges-for-multiple-calls,clojure.test/deftest,1
topology.finder/dirs->sources,topology.finder/find-sources-in-dir,1
topology.symbols/seq-map-zip,clojure.zip/zipper,1
